,MODEL,GENDER_PRECISION,GENDER_RECALL,GENDER_ACCURACY,GENDER_F1,AGEGROUP_PRECISION,AGEGROUP_RECALL,AGEGROUP_ACCURACY,AGEGROUP_F1
0,rgb_no_alpha,0.9,0.89,0.9,0.89,0.5,0.5,0.5,0.5
1,rgb_alpha05,0.91,0.9,0.91,0.91,0.71,0.71,0.71,0.71
2,rgb_alpha1,0.92,0.91,0.92,0.91,0.86,0.86,0.86,0.86
3,gray_no_alpha,0.88,0.9,0.9,0.89,0.5,0.5,0.5,0.5
4,gray_alpha05,0.93,0.88,0.91,0.9,0.64,0.64,0.64,0.64
5,gray_alpha1,0.89,0.92,0.91,0.9,0.86,0.86,0.86,0.86
